Unnamed: 0,Cars,2021_week,Cumulative,Avg/wk,2021_Y-t-d,country,date
Coal,"5,155",-18.0%,"5,155",-18.0%,-25.9%,Canadian,2020-02-19
"Farm Products excl. Grain, and Food","7,006",29.3%,"7,006",29.3%,11.0%,Canadian,2020-02-19
Forest Products,"6,276",-3.1%,"6,276",-3.1%,-7.0%,Canadian,2020-02-19
Grain,"6,019",-22.9%,"6,019",-22.9%,-11.6%,Canadian,2020-02-19
Metallic Ores and Metals,"15,495",1.2%,"15,495",1.2%,3.0%,Canadian,2020-02-19
Motor Vehicles and Parts,"5,632",2.9%,"5,632",2.9%,-5.3%,Canadian,2020-02-19
Nonmetallic Minerals,"5,873",3.5%,"5,873",3.5%,-2.3%,Canadian,2020-02-19
Petroleum and Petroleum Products,"9,989",30.8%,"9,989",30.8%,25.3%,Canadian,2020-02-19
Other,"1,681",21.0%,"1,681",21.0%,-0.3%,Canadian,2020-02-19
Total Intermodal Units,"55,059",-12.1%,"55,059",-12.1%,-0.8%,Canadian,2020-02-19
Total Traffic,"130,480",-3.8%,"130,480",-3.8%,-1.1%,Canadian,2020-02-19
Total Carloads,"21,280",1.3%,"21,280",1.3%,4.9%,Mexican,2020-02-19
Chemicals,974,-4.3%,974,-4.3%,-2.8%,Mexican,2020-02-19
Coal,13,-85.7%,13,-85.7%,-87.8%,Mexican,2020-02-19
"Farm Products excl. Grain, and Food","2,516",6.0%,"2,516",6.0%,20.2%,Mexican,2020-02-19
Forest Products,23,-4.2%,23,-4.2%,111.5%,Mexican,2020-02-19
Grain,"2,130",-14.6%,"2,130",-14.6%,-3.2%,Mexican,2020-02-19
Metallic Ores and Metals,"4,915",14.2%,"4,915",14.2%,8.5%,Mexican,2020-02-19
Motor Vehicles and Parts,"4,665",3.3%,"4,665",3.3%,6.8%,Mexican,2020-02-19
Nonmetallic Minerals,"4,280",6.7%,"4,280",6.7%,7.5%,Mexican,2020-02-19
Petroleum and Petroleum Products,967,-5.3%,967,-5.3%,14.8%,Mexican,2020-02-19
Other,797,-30.8%,797,-30.8%,-24.0%,Mexican,2020-02-19
Total Intermodal Units,"18,952",9.2%,"18,952",9.2%,18.1%,Mexican,2020-02-19
Total Traffic,"40,232",4.9%,"40,232",4.9%,10.9%,Mexican,2020-02-19
Total Carloads,"324,148",-5.9%,"324,148",-5.9%,-4.4%,North_american,2020-02-19
Chemicals,"45,734",1.7%,"45,734",1.7%,-0.5%,North_american,2020-02-19
Coal,"68,213",-21.2%,"68,213",-21.2%,-16.0%,North_american,2020-02-19
"Farm Products excl. Grain, and Food","24,655",4.0%,"24,655",4.0%,5.2%,North_american,2020-02-19
Forest Products,"15,864",-3.8%,"15,864",-3.8%,-4.8%,North_american,2020-02-19
Grain,"26,474",-16.2%,"26,474",-16.2%,-10.1%,North_american,2020-02-19
Metallic Ores and Metals,"41,269",3.5%,"41,269",3.5%,2.5%,North_american,2020-02-19
Motor Vehicles and Parts,"27,880",3.8%,"27,880",3.8%,-2.7%,North_american,2020-02-19
Nonmetallic Minerals,"38,534",-7.5%,"38,534",-7.5%,-3.9%,North_american,2020-02-19
Petroleum and Petroleum Products,"23,578",14.8%,"23,578",14.8%,11.7%,North_american,2020-02-19
Other,"11,947",-0.7%,"11,947",-0.7%,2.9%,North_american,2020-02-19
Total Intermodal Units,"325,701",-7.9%,"325,701",-7.9%,-4.2%,North_american,2020-02-19
Total Traffic,"649,849",-6.9%,"649,849",-6.9%,-4.3%,North_american,2020-02-19
Total Carloads,"232,869",-9.3%,"232,869",-9.3%,-6.5%,U.S,2020-02-26
Chemicals,"33,284",7.7%,"33,284",7.7%,2.6%,U.S,2020-02-26
Coal,"63,540",-26.8%,"63,540",-26.8%,-16.5%,U.S,2020-02-26
"Farm Products excl. Grain, and Food","15,754",-0.2%,"15,754",-0.2%,0.9%,U.S,2020-02-26
Forest Products,"9,393",-9.8%,"9,393",-9.8%,-4.4%,U.S,2020-02-26
Grain,"18,909",-12.8%,"18,909",-12.8%,-10.6%,U.S,2020-02-26
Metallic Ores and Metals,"20,528",-2.6%,"20,528",-2.6%,0.4%,U.S,2020-02-26
Motor Vehicles and Parts,"17,898",7.1%,"17,898",7.1%,-2.5%,U.S,2020-02-26
Nonmetallic Minerals,"29,854",-5.2%,"29,854",-5.2%,-5.6%,U.S,2020-02-26
Petroleum and Petroleum Products,"13,401",10.0%,"13,401",10.0%,2.6%,U.S,2020-02-26
Other,"10,308",5.9%,"10,308",5.9%,6.2%,U.S,2020-02-26
Total Intermodal Units,"249,821",-6.0%,"249,821",-6.0%,-6.2%,U.S,2020-02-26
Total Traffic,"482,690",-7.6%,"482,690",-7.6%,-6.4%,U.S,2020-02-26
Total Carloads,"76,331",1.9%,"76,331",1.9%,-0.9%,Canadian,2020-02-26
Chemicals,"12,220",13.5%,"12,220",13.5%,-4.5%,Canadian,2020-02-26
Coal,"6,421",-14.3%,"6,421",-14.3%,-24.5%,Canadian,2020-02-26
"Farm Products excl. Grain, and Food","7,138",23.2%,"7,138",23.2%,12.3%,Canadian,2020-02-26
Forest Products,"5,496",-12.5%,"5,496",-12.5%,-7.6%,Canadian,2020-02-26
Grain,"6,984",-9.4%,"6,984",-9.4%,-11.3%,Canadian,2020-02-26
Metallic Ores and Metals,"14,644",-9.5%,"14,644",-9.5%,1.4%,Canadian,2020-02-26
Motor Vehicles and Parts,"5,039",9.7%,"5,039",9.7%,-3.6%,Canadian,2020-02-26
Nonmetallic Minerals,"6,023",-8.6%,"6,023",-8.6%,-3.1%,Canadian,2020-02-26
Petroleum and Petroleum Products,"10,983",36.6%,"10,983",36.6%,26.5%,Canadian,2020-02-26
Other,"1,383",-4.8%,"1,383",-4.8%,-0.8%,Canadian,2020-02-26
Total Intermodal Units,"56,299",-14.9%,"56,299",-14.9%,-2.7%,Canadian,2020-02-26
Total Traffic,"132,630",-6.0%,"132,630",-6.0%,-1.7%,Canadian,2020-02-26
Total Carloads,"20,143",-6.4%,"20,143",-6.4%,3.3%,Mexican,2020-02-26
Chemicals,937,-2.0%,937,-2.0%,-2.7%,Mexican,2020-02-26
Coal,16,-85.2%,16,-85.2%,-87.5%,Mexican,2020-02-26
"Farm Products excl. Grain, and Food","1,710",-27.3%,"1,710",-27.3%,12.4%,Mexican,2020-02-26
Forest Products,22,37.5%,22,37.5%,103.9%,Mexican,2020-02-26
Grain,"2,045",-20.8%,"2,045",-20.8%,-5.8%,Mexican,2020-02-26
Metallic Ores and Metals,"4,306",-0.7%,"4,306",-0.7%,7.3%,Mexican,2020-02-26
Motor Vehicles and Parts,"4,984",0.4%,"4,984",0.4%,5.7%,Mexican,2020-02-26
Nonmetallic Minerals,"4,389",3.6%,"4,389",3.6%,7.0%,Mexican,2020-02-26
Petroleum and Petroleum Products,900,9.4%,900,9.4%,14.1%,Mexican,2020-02-26
Other,834,-27.2%,834,-27.2%,-24.4%,Mexican,2020-02-26
Total Intermodal Units,"18,603",1.1%,"18,603",1.1%,15.6%,Mexican,2020-02-26
Total Traffic,"38,746",-2.9%,"38,746",-2.9%,8.9%,Mexican,2020-02-26
Total Carloads,"329,343",-6.7%,"329,343",-6.7%,-4.7%,North_american,2020-02-26
Chemicals,"46,441",8.9%,"46,441",8.9%,0.6%,North_american,2020-02-26
Coal,"69,977",-25.8%,"69,977",-25.8%,-17.3%,North_american,2020-02-26
"Farm Products excl. Grain, and Food","24,602",2.8%,"24,602",2.8%,4.9%,North_american,2020-02-26
Forest Products,"14,911",-10.8%,"14,911",-10.8%,-5.5%,North_american,2020-02-26
Grain,"27,938",-12.7%,"27,938",-12.7%,-10.5%,North_american,2020-02-26
Metallic Ores and Metals,"39,478",-5.1%,"39,478",-5.1%,1.5%,North_american,2020-02-26
Motor Vehicles and Parts,"27,921",6.3%,"27,921",6.3%,-1.4%,North_american,2020-02-26
Nonmetallic Minerals,"40,266",-4.8%,"40,266",-4.8%,-4.0%,North_american,2020-02-26
Petroleum and Petroleum Products,"25,284",20.1%,"25,284",20.1%,12.7%,North_american,2020-02-26
Other,"12,525",1.6%,"12,525",1.6%,2.7%,North_american,2020-02-26
Total Intermodal Units,"324,723",-7.3%,"324,723",-7.3%,-4.6%,North_american,2020-02-26
Total Traffic,"654,066",-7.0%,"654,066",-7.0%,-4.7%,North_american,2020-02-26
Total Carloads,"234,652",-6.5%,"234,652",-6.5%,-6.5%,U.S,2020-03-04
Chemicals,"33,921",1.0%,"33,921",1.0%,2.4%,U.S,2020-03-04
Coal,"62,152",-21.2%,"62,152",-21.2%,-17.0%,U.S,2020-03-04
"Farm Products excl. Grain, and Food","16,285",7.0%,"16,285",7.0%,1.5%,U.S,2020-03-04
Forest Products,"9,841",1.9%,"9,841",1.9%,-3.7%,U.S,2020-03-04
Grain,"20,611",1.4%,"20,611",1.4%,-9.4%,U.S,2020-03-04
Metallic Ores and Metals,"21,383",3.2%,"21,383",3.2%,0.7%,U.S,2020-03-04
Motor Vehicles and Parts,"18,254",-0.9%,"18,254",-0.9%,-2.3%,U.S,2020-03-04
Nonmetallic Minerals,"28,909",-9.6%,"28,909",-9.6%,-6.1%,U.S,2020-03-04
Petroleum and Petroleum Products,"13,389",12.7%,"13,389",12.7%,3.6%,U.S,2020-03-04
Other,"9,907",-3.3%,"9,907",-3.3%,5.1%,U.S,2020-03-04
Total Intermodal Units,"242,959",-12.5%,"242,959",-12.5%,-7.0%,U.S,2020-03-04
Total Traffic,"477,611",-9.6%,"477,611",-9.6%,-6.8%,U.S,2020-03-04
Total Carloads,"80,166",3.9%,"80,166",3.9%,-0.4%,Canadian,2020-03-04
Chemicals,"13,105",4.1%,"13,105",4.1%,-3.5%,Canadian,2020-03-04
Coal,"7,000",-15.8%,"7,000",-15.8%,-23.5%,Canadian,2020-03-04
"Farm Products excl. Grain, and Food","8,400",41.3%,"8,400",41.3%,15.2%,Canadian,2020-03-04
Forest Products,"6,109",-7.0%,"6,109",-7.0%,-7.6%,Canadian,2020-03-04
Grain,"6,539",-24.2%,"6,539",-24.2%,-12.9%,Canadian,2020-03-04
Metallic Ores and Metals,"15,323",10.8%,"15,323",10.8%,2.3%,Canadian,2020-03-04
Motor Vehicles and Parts,"4,670",-12.0%,"4,670",-12.0%,-4.6%,Canadian,2020-03-04
Nonmetallic Minerals,"6,622",13.4%,"6,622",13.4%,-1.3%,Canadian,2020-03-04
Petroleum and Petroleum Products,"11,025",24.9%,"11,025",24.9%,26.3%,Canadian,2020-03-04
Other,"1,373",3.2%,"1,373",3.2%,-0.4%,Canadian,2020-03-04
Total Intermodal Units,"58,116",-14.4%,"58,116",-14.4%,-4.0%,Canadian,2020-03-04
Total Traffic,"138,282",-4.7%,"138,282",-4.7%,-2.0%,Canadian,2020-03-04
Total Carloads,"20,750",-5.8%,"20,750",-5.8%,2.2%,Mexican,2020-03-04
Chemicals,889,-9.1%,889,-9.1%,-3.5%,Mexican,2020-03-04
Coal,16,-88.0%,16,-88.0%,-87.6%,Mexican,2020-03-04
"Farm Products excl. Grain, and Food","1,822",-14.0%,"1,822",-14.0%,9.0%,Mexican,2020-03-04
Forest Products,30,-9.1%,30,-9.1%,84.0%,Mexican,2020-03-04
Grain,"2,309",-0.8%,"2,309",-0.8%,-5.2%,Mexican,2020-03-04
Metallic Ores and Metals,"4,921",-5.9%,"4,921",-5.9%,5.6%,Mexican,2020-03-04
Motor Vehicles and Parts,"4,740",-2.9%,"4,740",-2.9%,4.5%,Mexican,2020-03-04
Nonmetallic Minerals,"4,329",1.9%,"4,329",1.9%,6.4%,Mexican,2020-03-04
Petroleum and Petroleum Products,872,-9.4%,872,-9.4%,11.0%,Mexican,2020-03-04
Other,822,-25.9%,822,-25.9%,-24.6%,Mexican,2020-03-04
Total Intermodal Units,"17,326",-2.7%,"17,326",-2.7%,13.3%,Mexican,2020-03-04
Total Traffic,"38,076",-4.4%,"38,076",-4.4%,7.2%,Mexican,2020-03-04
Total Carloads,"335,568",-4.2%,"335,568",-4.2%,-4.7%,North_american,2020-03-04
Chemicals,"47,915",1.6%,"47,915",1.6%,0.7%,North_american,2020-03-04
Coal,"69,168",-20.8%,"69,168",-20.8%,-17.7%,North_american,2020-03-04
"Farm Products excl. Grain, and Food","26,507",13.9%,"26,507",13.9%,5.9%,North_american,2020-03-04
Forest Products,"15,980",-1.7%,"15,980",-1.7%,-5.1%,North_american,2020-03-04
Grain,"29,459",-5.8%,"29,459",-5.8%,-9.9%,North_american,2020-03-04
Metallic Ores and Metals,"41,627",4.6%,"41,627",4.6%,1.8%,North_american,2020-03-04
Motor Vehicles and Parts,"27,664",-3.3%,"27,664",-3.3%,-1.7%,North_american,2020-03-04
Nonmetallic Minerals,"39,860",-5.2%,"39,860",-5.2%,-4.2%,North_american,2020-03-04
Petroleum and Petroleum Products,"25,286",16.7%,"25,286",16.7%,13.1%,North_american,2020-03-04
Other,"12,102",-4.6%,"12,102",-4.6%,1.9%,North_american,2020-03-04
Total Intermodal Units,"318,401",-12.4%,"318,401",-12.4%,-5.5%,North_american,2020-03-04
Total Traffic,"653,969",-8.3%,"653,969",-8.3%,-5.1%,North_american,2020-03-04
Total Carloads,"229,742",-3.5%,"229,742",-3.5%,-6.2%,U.S,2020-03-11
Chemicals,"33,419",6.5%,"33,419",6.5%,2.9%,U.S,2020-03-11
Coal,"58,659",-23.4%,"58,659",-23.4%,-17.6%,U.S,2020-03-11
"Farm Products excl. Grain, and Food","16,404",6.0%,"16,404",6.0%,2.0%,U.S,2020-03-11
Forest Products,"9,839",2.5%,"9,839",2.5%,-3.0%,U.S,2020-03-11
Grain,"20,863",9.0%,"20,863",9.0%,-7.7%,U.S,2020-03-11
Metallic Ores and Metals,"19,672",-1.0%,"19,672",-1.0%,0.6%,U.S,2020-03-11
Motor Vehicles and Parts,"18,149",8.1%,"18,149",8.1%,-1.2%,U.S,2020-03-11
Nonmetallic Minerals,"30,385",0.5%,"30,385",0.5%,-5.4%,U.S,2020-03-11
Petroleum and Petroleum Products,"12,641",18.6%,"12,641",18.6%,4.9%,U.S,2020-03-11
Other,"9,711",16.8%,"9,711",16.8%,6.1%,U.S,2020-03-11
Total Intermodal Units,"232,561",-14.1%,"232,561",-14.1%,-7.7%,U.S,2020-03-11
Total Traffic,"462,303",-9.1%,"462,303",-9.1%,-7.0%,U.S,2020-03-11
Total Carloads,"83,886",10.8%,"83,886",10.8%,0.7%,Canadian,2020-03-11
Chemicals,"12,297",7.0%,"12,297",7.0%,-2.5%,Canadian,2020-03-11
Coal,"8,414",16.5%,"8,414",16.5%,-19.7%,Canadian,2020-03-11
"Farm Products excl. Grain, and Food","8,328",31.6%,"8,328",31.6%,16.8%,Canadian,2020-03-11
Forest Products,"6,585",-5.2%,"6,585",-5.2%,-7.3%,Canadian,2020-03-11
Grain,"7,072",4.5%,"7,072",4.5%,-11.4%,Canadian,2020-03-11
Metallic Ores and Metals,"15,773",4.5%,"15,773",4.5%,2.6%,Canadian,2020-03-11
Motor Vehicles and Parts,"6,047",10.3%,"6,047",10.3%,-2.9%,Canadian,2020-03-11
Nonmetallic Minerals,"6,483",-1.2%,"6,483",-1.2%,-1.3%,Canadian,2020-03-11
Petroleum and Petroleum Products,"11,240",33.9%,"11,240",33.9%,27.0%,Canadian,2020-03-11
Other,"1,647",17.6%,"1,647",17.6%,1.2%,Canadian,2020-03-11
Total Intermodal Units,"64,025",-5.3%,"64,025",-5.3%,-4.2%,Canadian,2020-03-11
Total Traffic,"147,911",3.2%,"147,911",3.2%,-1.5%,Canadian,2020-03-11
Total Carloads,"19,740",-9.6%,"19,740",-9.6%,0.8%,Mexican,2020-03-11
Chemicals,946,-6.9%,946,-6.9%,-3.8%,Mexican,2020-03-11
Coal,13,-85.9%,13,-85.9%,-87.5%,Mexican,2020-03-11
"Farm Products excl. Grain, and Food","1,910",-14.9%,"1,910",-14.9%,5.9%,Mexican,2020-03-11
Forest Products,14,-33.3%,14,-33.3%,72.2%,Mexican,2020-03-11
Grain,"1,694",-9.6%,"1,694",-9.6%,-6.0%,Mexican,2020-03-11
Metallic Ores and Metals,"4,408",-4.2%,"4,408",-4.2%,4.9%,Mexican,2020-03-11
Motor Vehicles and Parts,"5,173",-0.9%,"5,173",-0.9%,4.3%,Mexican,2020-03-11
Nonmetallic Minerals,"4,283",-4.8%,"4,283",-4.8%,4.2%,Mexican,2020-03-11
Petroleum and Petroleum Products,604,-46.0%,604,-46.0%,4.7%,Mexican,2020-03-11
Other,695,-39.7%,695,-39.7%,-26.2%,Mexican,2020-03-11
Total Intermodal Units,"17,114",-3.0%,"17,114",-3.0%,10.9%,Mexican,2020-03-11
Total Traffic,"36,854",-6.7%,"36,854",-6.7%,5.4%,Mexican,2020-03-11
Total Carloads,"333,368",-0.6%,"333,368",-0.6%,-4.3%,North_american,2020-03-11
Chemicals,"46,662",6.3%,"46,662",6.3%,1.3%,North_american,2020-03-11
Coal,"67,086",-20.0%,"67,086",-20.0%,-17.9%,North_american,2020-03-11
"Farm Products excl. Grain, and Food","26,642",10.8%,"26,642",10.8%,6.4%,North_american,2020-03-11
Forest Products,"16,438",-0.8%,"16,438",-0.8%,-4.6%,North_american,2020-03-11
Grain,"29,629",6.7%,"29,629",6.7%,-8.5%,North_american,2020-03-11
Metallic Ores and Metals,"39,853",0.8%,"39,853",0.8%,1.8%,North_american,2020-03-11
Motor Vehicles and Parts,"29,369",6.8%,"29,369",6.8%,-0.7%,North_american,2020-03-11
Nonmetallic Minerals,"41,151",-0.3%,"41,151",-0.3%,-3.9%,North_american,2020-03-11
Petroleum and Petroleum Products,"24,485",21.4%,"24,485",21.4%,13.9%,North_american,2020-03-11
Other,"12,053",10.9%,"12,053",10.9%,2.7%,North_american,2020-03-11
Total Intermodal Units,"313,700",-11.9%,"313,700",-11.9%,-6.2%,North_american,2020-03-11
Total Traffic,"647,068",-6.4%,"647,068",-6.4%,-5.2%,North_american,2020-03-11
Total Carloads,"226,039",-5.9%,"226,039",-5.9%,-6.2%,U.S,2020-03-18
Chemicals,"33,012",3.6%,"33,012",3.6%,2.9%,U.S,2020-03-18
Coal,"55,542",-23.0%,"55,542",-23.0%,-18.1%,U.S,2020-03-18
"Farm Products excl. Grain, and Food","15,854",1.6%,"15,854",1.6%,2.0%,U.S,2020-03-18
Forest Products,"9,842",-1.7%,"9,842",-1.7%,-2.9%,U.S,2020-03-18
Grain,"19,911",6.9%,"19,911",6.9%,-6.5%,U.S,2020-03-18
Metallic Ores and Metals,"19,975",-4.7%,"19,975",-4.7%,0.1%,U.S,2020-03-18
Motor Vehicles and Parts,"19,104",6.6%,"19,104",6.6%,-0.4%,U.S,2020-03-18
Nonmetallic Minerals,"30,254",-7.5%,"30,254",-7.5%,-5.6%,U.S,2020-03-18
Petroleum and Petroleum Products,"13,294",9.6%,"13,294",9.6%,5.4%,U.S,2020-03-18
Other,"9,251",12.4%,"9,251",12.4%,6.6%,U.S,2020-03-18
Total Intermodal Units,"236,978",-9.1%,"236,978",-9.1%,-7.8%,U.S,2020-03-18
Total Traffic,"463,017",-7.6%,"463,017",-7.6%,-7.0%,U.S,2020-03-18
Total Carloads,"84,612",6.3%,"84,612",6.3%,1.2%,Canadian,2020-03-18
Chemicals,"12,807",4.0%,"12,807",4.0%,-1.9%,Canadian,2020-03-18
Coal,"7,963",8.3%,"7,963",8.3%,-17.3%,Canadian,2020-03-18
"Farm Products excl. Grain, and Food","9,211",35.4%,"9,211",35.4%,18.5%,Canadian,2020-03-18
Forest Products,"6,582",-6.6%,"6,582",-6.6%,-7.2%,Canadian,2020-03-18
Grain,"7,662",-1.9%,"7,662",-1.9%,-10.5%,Canadian,2020-03-18
Metallic Ores and Metals,"16,249",1.3%,"16,249",1.3%,2.4%,Canadian,2020-03-18
Motor Vehicles and Parts,"5,900",14.2%,"5,900",14.2%,-1.3%,Canadian,2020-03-18
Nonmetallic Minerals,"6,219",-5.5%,"6,219",-5.5%,-1.7%,Canadian,2020-03-18
Petroleum and Petroleum Products,"10,468",17.0%,"10,468",17.0%,26.1%,Canadian,2020-03-18
Other,"1,551",-0.5%,"1,551",-0.5%,1.1%,Canadian,2020-03-18
Total Intermodal Units,"60,886",-12.8%,"60,886",-12.8%,-5.0%,Canadian,2020-03-18
Total Traffic,"145,498",-2.6%,"145,498",-2.6%,-1.6%,Canadian,2020-03-18
Total Carloads,"21,393",-5.0%,"21,393",-5.0%,0.2%,Mexican,2020-03-18
Chemicals,967,0.6%,967,0.6%,-3.4%,Mexican,2020-03-18
Coal,18,-89.3%,18,-89.3%,-87.7%,Mexican,2020-03-18
"Farm Products excl. Grain, and Food","2,144",-7.0%,"2,144",-7.0%,4.5%,Mexican,2020-03-18
Forest Products,17,6.3%,17,6.3%,67.6%,Mexican,2020-03-18
Grain,"1,936",-23.4%,"1,936",-23.4%,-7.8%,Mexican,2020-03-18
Metallic Ores and Metals,"4,859",0.2%,"4,859",0.2%,4.4%,Mexican,2020-03-18
Motor Vehicles and Parts,"5,408",-0.6%,"5,408",-0.6%,3.7%,Mexican,2020-03-18
Nonmetallic Minerals,"4,396",4.9%,"4,396",4.9%,4.2%,Mexican,2020-03-18
Petroleum and Petroleum Products,797,-25.7%,797,-25.7%,1.3%,Mexican,2020-03-18
Other,851,-14.4%,851,-14.4%,-25.1%,Mexican,2020-03-18
Total Intermodal Units,"15,074",-8.9%,"15,074",-8.9%,9.0%,Mexican,2020-03-18
Total Traffic,"36,467",-6.7%,"36,467",-6.7%,4.2%,Mexican,2020-03-18
Total Carloads,"332,044",-3.0%,"332,044",-3.0%,-4.1%,North_american,2020-03-18
Chemicals,"46,786",3.7%,"46,786",3.7%,1.5%,North_american,2020-03-18
Coal,"63,523",-20.2%,"63,523",-20.2%,-18.1%,North_american,2020-03-18
"Farm Products excl. Grain, and Food","27,209",10.1%,"27,209",10.1%,6.7%,North_american,2020-03-18
Forest Products,"16,441",-3.7%,"16,441",-3.7%,-4.5%,North_american,2020-03-18
Grain,"29,509",1.9%,"29,509",1.9%,-7.6%,North_american,2020-03-18
Metallic Ores and Metals,"41,083",-1.9%,"41,083",-1.9%,1.5%,North_american,2020-03-18
Motor Vehicles and Parts,"30,412",6.6%,"30,412",6.6%,0.1%,North_american,2020-03-18
Nonmetallic Minerals,"40,869",-6.0%,"40,869",-6.0%,-4.1%,North_american,2020-03-18
Petroleum and Petroleum Products,"24,559",10.9%,"24,559",10.9%,13.6%,North_american,2020-03-18
Other,"11,653",8.0%,"11,653",8.0%,3.2%,North_american,2020-03-18
Total Intermodal Units,"312,938",-9.8%,"312,938",-9.8%,-6.5%,North_american,2020-03-18
Total Traffic,"644,982",-6.4%,"644,982",-6.4%,-5.3%,North_american,2020-03-18
Total Carloads,"224,048",-5.4%,"224,048",-5.4%,-6.1%,U.S,2020-03-25
Chemicals,"34,471",12.2%,"34,471",12.2%,3.7%,U.S,2020-03-25
Coal,"56,093",-14.1%,"56,093",-14.1%,-17.8%,U.S,2020-03-25
"Farm Products excl. Grain, and Food","15,984",3.3%,"15,984",3.3%,2.1%,U.S,2020-03-25
Forest Products,"9,515",-2.3%,"9,515",-2.3%,-2.8%,U.S,2020-03-25
Grain,"20,996",-4.6%,"20,996",-4.6%,-6.3%,U.S,2020-03-25
Metallic Ores and Metals,"18,576",-7.1%,"18,576",-7.1%,-0.4%,U.S,2020-03-25
Motor Vehicles and Parts,"15,887",-7.1%,"15,887",-7.1%,-1.0%,U.S,2020-03-25
Nonmetallic Minerals,"30,674",-13.5%,"30,674",-13.5%,-6.4%,U.S,2020-03-25
Petroleum and Petroleum Products,"12,105",-0.2%,"12,105",-0.2%,4.9%,U.S,2020-03-25
Other,"9,747",9.7%,"9,747",9.7%,6.9%,U.S,2020-03-25
Total Intermodal Units,"235,918",-11.4%,"235,918",-11.4%,-8.1%,U.S,2020-03-25
Total Traffic,"459,966",-8.6%,"459,966",-8.6%,-7.2%,U.S,2020-03-25
Total Carloads,"83,954",1.4%,"83,954",1.4%,1.3%,Canadian,2020-03-25
Chemicals,"13,528",11.2%,"13,528",11.2%,-0.8%,Canadian,2020-03-25
Coal,"7,892",-5.0%,"7,892",-5.0%,-16.2%,Canadian,2020-03-25
"Farm Products excl. Grain, and Food","9,020",30.0%,"9,020",30.0%,19.5%,Canadian,2020-03-25
Forest Products,"6,985",-7.0%,"6,985",-7.0%,-7.2%,Canadian,2020-03-25
Grain,"7,661",-10.9%,"7,661",-10.9%,-10.6%,Canadian,2020-03-25
Metallic Ores and Metals,"15,796",1.8%,"15,796",1.8%,2.4%,Canadian,2020-03-25
Motor Vehicles and Parts,"5,158",-9.4%,"5,158",-9.4%,-2.1%,Canadian,2020-03-25
Nonmetallic Minerals,"6,046",-10.4%,"6,046",-10.4%,-2.5%,Canadian,2020-03-25
Petroleum and Petroleum Products,"10,276",8.7%,"10,276",8.7%,24.6%,Canadian,2020-03-25
Other,"1,592",-12.9%,"1,592",-12.9%,-0.3%,Canadian,2020-03-25
Total Intermodal Units,"61,041",-14.1%,"61,041",-14.1%,-5.8%,Canadian,2020-03-25
Total Traffic,"144,995",-5.7%,"144,995",-5.7%,-2.0%,Canadian,2020-03-25
Total Carloads,"19,785",-5.9%,"19,785",-5.9%,-0.3%,Mexican,2020-03-25
Chemicals,756,-18.3%,756,-18.3%,-4.6%,Mexican,2020-03-25
Coal,62,-55.7%,62,-55.7%,-85.1%,Mexican,2020-03-25
"Farm Products excl. Grain, and Food","2,155",-0.2%,"2,155",-0.2%,4.1%,Mexican,2020-03-25
Forest Products,18,-25.0%,18,-25.0%,58.6%,Mexican,2020-03-25
Grain,"1,755",-27.1%,"1,755",-27.1%,-9.6%,Mexican,2020-03-25
Metallic Ores and Metals,"4,468",2.7%,"4,468",2.7%,4.3%,Mexican,2020-03-25
Motor Vehicles and Parts,"4,473",-12.0%,"4,473",-12.0%,2.2%,Mexican,2020-03-25
Nonmetallic Minerals,"4,508",8.7%,"4,508",8.7%,4.6%,Mexican,2020-03-25
Petroleum and Petroleum Products,798,1.3%,798,1.3%,1.3%,Mexican,2020-03-25
Other,792,-20.2%,792,-20.2%,-24.7%,Mexican,2020-03-25
Total Intermodal Units,"14,810",-1.3%,"14,810",-1.3%,8.2%,Mexican,2020-03-25
Total Traffic,"34,595",-3.9%,"34,595",-3.9%,3.5%,Mexican,2020-03-25
Total Carloads,"327,787",-3.8%,"327,787",-3.8%,-4.1%,North_american,2020-03-25
Chemicals,"48,755",11.3%,"48,755",11.3%,2.3%,North_american,2020-03-25
Coal,"64,047",-13.2%,"64,047",-13.2%,-17.8%,North_american,2020-03-25
"Farm Products excl. Grain, and Food","27,159",10.5%,"27,159",10.5%,7.1%,North_american,2020-03-25
Forest Products,"16,518",-4.4%,"16,518",-4.4%,-4.5%,North_american,2020-03-25
Grain,"30,412",-7.9%,"30,412",-7.9%,-7.6%,North_american,2020-03-25
Metallic Ores and Metals,"38,840",-2.6%,"38,840",-2.6%,1.1%,North_american,2020-03-25
Motor Vehicles and Parts,"25,518",-8.5%,"25,518",-8.5%,-0.7%,North_american,2020-03-25
Nonmetallic Minerals,"41,228",-11.0%,"41,228",-11.0%,-4.7%,North_american,2020-03-25
Petroleum and Petroleum Products,"23,179",3.6%,"23,179",3.6%,12.8%,North_american,2020-03-25
Other,"12,131",3.6%,"12,131",3.6%,3.2%,North_american,2020-03-25
Total Intermodal Units,"311,769",-11.5%,"311,769",-11.5%,-6.9%,North_american,2020-03-25
Total Traffic,"639,556",-7.7%,"639,556",-7.7%,-5.5%,North_american,2020-03-25
Total Carloads,"219,844",-9.1%,"219,844",-9.1%,-6.3%,U.S,2020-04-01
Chemicals,"32,706",-3.2%,"32,706",-3.2%,3.1%,U.S,2020-04-01
Coal,"60,983",0.1%,"60,983",0.1%,-16.7%,U.S,2020-04-01
